42	20
42	12
20	39
12	39
42	20
42	12
20	19
12	19
42	20
42	12
12	40
20	40
42	20
42	12
12	23
20	23
42	20
42	12
20	10
12	10
42	20
20	40
39	40
42	39
42	20
39	26
20	26
42	39
42	20
20	10
39	10
42	39
42	20
20	39
19	39
42	19
42	20
40	12
20	12
42	40
42	20
25	12
20	12
42	25
42	20
20	16
25	16
42	25
42	20
25	8
20	8
42	25
42	20
20	23
42	25
25	23
42	20
25	26
20	26
42	25
42	20
42	23
20	12
23	12
42	20
20	19
42	23
23	19
42	20
42	23
23	40
20	40
42	20
42	23
23	16
20	16
42	20
42	23
20	10
23	10
42	20
42	26
26	12
20	12
42	20
20	39
42	26
26	39
42	20
20	19
42	26
26	19
42	20
42	26
20	8
26	8
42	20
42	26
26	23
20	23
42	20
42	26
20	10
26	10
42	20
10	16
42	10
20	16
42	20
20	40
56	40
42	56
42	20
20	40
42	54
54	40
42	20
54	26
20	26
42	54
42	12
39	20
12	20
42	39
42	12
12	40
39	40
42	39
42	12
39	25
42	39
12	25
42	12
39	37
12	37
42	39
42	12
39	10
42	39
12	10
42	12
42	35
35	25
12	25
42	12
19	20
12	20
42	19
42	12
12	39
19	39
42	19
42	12
40	20
12	20
42	40
42	12
40	25
42	40
12	25
42	12
40	51
42	40
12	51
42	12
12	23
42	25
25	23
42	12
42	23
23	20
12	20
42	12
42	23
12	11
23	11
42	12
42	23
12	19
23	19
42	12
42	23
23	40
12	40
42	12
42	23
23	25
12	25
42	12
42	23
12	37
23	37
42	12
42	23
23	10
12	10
42	12
42	26
12	20
26	20
42	12
42	26
12	39
26	39
42	12
42	26
12	19
26	19
42	12
42	26
26	25
12	25
42	12
42	26
26	23
12	23
42	12
42	26
12	37
26	37
42	12
42	26
26	10
12	10
42	12
10	20
42	10
12	20
42	12
12	40
56	40
42	56
42	12
56	51
12	51
42	56
42	12
12	20
42	54
54	20
42	12
12	40
42	54
54	40
42	12
12	37
42	54
54	37
42	1
1	25
39	25
42	39
42	1
19	25
1	25
42	19
42	1
1	25
40	25
42	40
42	1
42	26
26	25
1	25
42	1
1	16
10	16
42	10
42	1
1	21
42	54
54	21
42	1
1	25
42	54
54	25
42	35
35	25
39	25
42	39
39	20
19	20
42	39
42	19
19	25
39	25
42	39
42	19
40	20
39	20
42	39
42	40
40	38
39	38
42	39
42	40
39	25
40	25
42	39
42	40
40	10
39	10
42	39
42	40
42	16
16	25
39	25
42	39
42	16
16	10
39	10
42	39
39	26
25	26
42	39
42	25
39	20
42	23
23	20
42	39
42	23
23	40
39	40
42	39
42	23
23	25
39	25
42	39
39	37
42	23
23	37
42	39
42	23
39	10
23	10
42	39
39	20
42	26
42	39
26	20
42	26
26	25
39	25
42	39
42	26
39	10
26	10
42	39
39	20
10	20
42	10
42	39
39	20
42	39
42	54
54	20
39	25
42	39
42	54
54	25
39	26
54	26
42	39
42	54
42	35
19	12
42	19
35	12
35	14
42	35
19	14
42	19
42	35
40	12
42	40
35	12
42	35
35	25
40	25
42	40
42	23
42	35
35	25
23	25
42	26
42	35
35	28
26	28
42	26
26	25
42	35
35	25
42	35
54	12
42	54
35	12
40	20
19	20
42	40
42	19
40	12
19	12
42	40
42	19
19	25
40	25
42	40
42	19
40	3
19	3
42	40
42	19
40	23
19	23
42	40
42	19
40	0
19	0
42	40
42	19
42	26
19	20
42	19
26	20
42	26
19	39
26	39
42	19
42	26
26	25
19	25
42	19
10	20
19	20
42	10
42	19
19	20
42	54
42	19
54	20
54	12
19	12
42	54
42	19
19	25
42	54
54	25
42	19
19	23
42	54
54	23
42	19
42	16
16	25
40	25
42	40
25	12
40	12
42	40
42	25
40	20
42	23
23	20
42	40
42	23
40	12
23	12
42	40
42	23
23	25
40	25
42	40
40	20
42	26
42	40
26	20
42	26
26	12
40	12
42	40
42	26
26	25
40	25
42	40
42	26
26	56
40	56
42	40
40	20
10	20
42	10
42	40
10	7
42	10
42	40
40	7
56	12
40	12
42	40
42	56
40	51
42	40
56	51
42	56
40	20
42	40
42	54
54	20
40	12
54	12
42	40
42	54
40	25
